iter	RMSE
0	8.814131098
1	8.470369461
2	8.20654853
3	7.999725866
4	7.828038475
5	7.671558089
6	7.555046661
7	7.464314172
8	7.369374666
9	7.30960913
10	7.24600151
11	7.19462905
12	7.150917107
13	7.112886408
14	7.073878503
15	7.050298356
16	7.016220279
17	6.989249882
18	6.960242803
19	6.934739999
20	6.900557853
21	6.863860402
22	6.841940242
23	6.815003852
24	6.796089091
25	6.76864135
26	6.750735255
27	6.733545889
28	6.718493367
29	6.698613713
30	6.680677499
31	6.659031872
32	6.642885618
33	6.63205995
34	6.618896074
35	6.602534971
36	6.58662004
37	6.573268157
38	6.560257246
39	6.548758596
40	6.531064852
41	6.522659048
42	6.508937521
43	6.491389438
44	6.479295642
45	6.465063081
46	6.454136533
47	6.434251201
48	6.425160098
49	6.412980482
50	6.406504353
51	6.392016295
52	6.377892978
53	6.363580474
54	6.351353474
55	6.333320917
56	6.323333773
57	6.313832355
58	6.303845803
59	6.295345581
60	6.285389765
61	6.280059621
62	6.274249796
63	6.260795914
64	6.2526099
65	6.243135597
66	6.237939187
67	6.233265553
68	6.226110213
69	6.217055306
70	6.210930126
71	6.202749257
72	6.195920362
73	6.188723365
74	6.179991354
75	6.173668348
76	6.164239924
77	6.156586673
78	6.151818062
79	6.144403428
80	6.139476597
81	6.130736233
82	6.123461987
83	6.119525444
84	6.115067643
85	6.107492627
86	6.103233036
87	6.097584629
88	6.090246644
89	6.085856418
90	6.080099831
91	6.07331605
92	6.068267157
93	6.062781248
94	6.056373492
95	6.05343923
96	6.049441773
97	6.045650512
98	6.040320355
99	6.036028664
100	6.031081555
101	6.028259248
102	6.02275098
103	6.017929378
104	6.014503492
105	6.010498914
106	6.002108784
107	5.997768595
108	5.994060527
109	5.984698604
110	5.981347444
111	5.975836409
112	5.970718228
113	5.967050241
114	5.958004883
115	5.953332038
116	5.949536182
117	5.946584588
118	5.937427886
119	5.932587007
120	5.92902893
121	5.920598935
122	5.916525138
123	5.91238711
124	5.909722656
125	5.905978875
126	5.899014013
127	5.895519108
128	5.893800787
129	5.889736314
130	5.886597685
131	5.883520815
132	5.879404727
133	5.87390482
134	5.869906117
135	5.864155383
136	5.861431377
137	5.857292061
138	5.853577996
139	5.849819799
140	5.846339761
141	5.84306663
142	5.83949571
143	5.834701052
144	5.824979558
145	5.823150173
146	5.820628239
147	5.817348164
148	5.814714514
149	5.81204871
150	5.80918835
151	5.806216139
152	5.801353011
153	5.798646104
154	5.795287932
155	5.793135391
156	5.790653886
157	5.787356715
158	5.784892536
159	5.782097048
160	5.778316054
161	5.774688122
162	5.772128053
163	5.769462737
164	5.767719986
165	5.764343218
166	5.761714504
167	5.759439014
168	5.75764983
169	5.755021635
170	5.75272609
171	5.750321769
172	5.748012755
173	5.740862813
174	5.737650114
175	5.734137124
176	5.730941925
177	5.728410599
178	5.726086061
179	5.722954642
180	5.718925657
181	5.715232317
182	5.713254406
183	5.71042569
184	5.707362418
185	5.702434802
186	5.69998123
187	5.698149612
188	5.695741396
189	5.692407093
190	5.689982091
191	5.687955841
192	5.686209091
193	5.683909088
194	5.681404393
195	5.679011411
196	5.676321763
197	5.67393924
198	5.671469068
199	5.666974285
200	5.664796548
201	5.663260093
202	5.661184017
203	5.658596058
204	5.656234199
205	5.652968898
206	5.650890764
207	5.647810629
208	5.645429151
209	5.642633231
210	5.639498177
211	5.636733343
212	5.63535825
213	5.633285196
214	5.631254912
215	5.628845945
216	5.627082681
217	5.623788635
218	5.621029828
219	5.618719455
220	5.613904189
221	5.611726597
222	5.608815837
223	5.607149924
224	5.605384335
225	5.603350475
226	5.601960658
227	5.600147964
228	5.598275379
229	5.596626039
230	5.593270034
231	5.589774666
232	5.587870107
233	5.584435012
234	5.582362972
235	5.580979525
236	5.578320385
237	5.576641587
238	5.574480564
239	5.573259249
240	5.570020662
241	5.568501538
242	5.566195646
243	5.564354798
244	5.562378337
245	5.560870617
246	5.558769604
247	5.556124088
248	5.554402007
249	5.551537245
250	5.549669045
251	5.548144053
252	5.546601576
253	5.544962474
254	5.542384906
255	5.54102839
256	5.538918083
257	5.536377547
258	5.53453621
259	5.532974903
260	5.532281421
261	5.530945622
262	5.529290301
263	5.527826654
264	5.525080234
265	5.523571044
266	5.522039
267	5.519410473
268	5.517829096
269	5.516100486
270	5.512500544
271	5.51112683
272	5.508767326
273	5.507520465
274	5.506193716
275	5.50447436
276	5.502809891
277	5.500440731
278	5.49896834
279	5.497805091
280	5.496443601
281	5.49509233
282	5.493641554
283	5.491445689
284	5.489414917
285	5.488175542
286	5.486637956
287	5.485152297
288	5.483943704
289	5.480971394
290	5.479267256
291	5.476405735
292	5.475113339
293	5.473384552
294	5.472013328
295	5.469955625
296	5.467437721
297	5.465793685
298	5.464176478
299	5.461754259
300	5.460337765
301	5.459343681
302	5.457663839
303	5.456031036
304	5.454863597
305	5.453099171
306	5.451869642
307	5.450281684
308	5.448434542
309	5.447017307
310	5.445873865
311	5.444811382
312	5.443107319
313	5.442154111
314	5.440389667
315	5.439403545
316	5.437114701
317	5.435893214
318	5.434792516
319	5.433705694
320	5.432636615
321	5.431091669
322	5.430154725
323	5.428682641
324	5.427566996
325	5.426103262
326	5.424542758
327	5.423357922
328	5.421191527
329	5.420377569
330	5.419556959
331	5.417979928
332	5.415976857
333	5.414780343
334	5.413833149
335	5.412533618
336	5.411634246
337	5.409187249
338	5.40799625
339	5.406729037
340	5.404566116
341	5.40357083
342	5.401680646
343	5.400402681
344	5.399938026
345	5.39885075
346	5.397299901
347	5.395716634
348	5.39458735
349	5.393175965
350	5.392375955
351	5.390667396
352	5.389312423
353	5.387323366
354	5.385848855
355	5.384813221
356	5.383836526
357	5.381431188
358	5.378853678
359	5.378146829
360	5.376307937
361	5.374868359
362	5.373940185
363	5.372650238
364	5.371714257
365	5.370479955
366	5.369870148
367	5.369101743
368	5.367662139
369	5.366781608
370	5.365543138
371	5.363215261
372	5.362294633
373	5.361771342
374	5.360882805
375	5.359936182
376	5.359051671
377	5.356141746
378	5.354879512
379	5.354507223
380	5.35348857
381	5.351928674
382	5.350675717
383	5.349478444
384	5.348242841
385	5.347549343
386	5.346249136
387	5.345016521
388	5.344097343
389	5.342582612
390	5.340668201
391	5.339681257
392	5.338758726
393	5.337764395
394	5.336800487
395	5.335966327
396	5.335046165
397	5.333687688
398	5.332357153
399	5.329561926
400	5.328424222
401	5.326889777
402	5.325724546
403	5.324625705
404	5.323700684
405	5.322363342
406	5.32146465
407	5.320355638
408	5.319377386
409	5.318894327
410	5.318163771
411	5.317313278
412	5.315990269
413	5.315428927
414	5.314365576
415	5.313239229
416	5.311739461
417	5.310812145
418	5.30990663
419	5.307642265
420	5.306791398
421	5.306408638
422	5.305379722
423	5.304656992
424	5.303758059
425	5.301863387
426	5.30113449
427	5.300742767
428	5.299312798
429	5.298659256
430	5.29724719
431	5.296132261
432	5.295651927
433	5.294325155
434	5.292899393
435	5.291512654
436	5.290108618
437	5.289459415
438	5.288319468
439	5.287228967
440	5.286100368
441	5.285284771
442	5.284631281
443	5.284035863
444	5.282634128
445	5.281103442
446	5.279976574
447	5.278815467
448	5.27617701
449	5.275543952
450	5.274909177
451	5.273643643
452	5.272480377
453	5.271582309
454	5.270294362
455	5.269353785
456	5.268282255
457	5.267641463
458	5.26683396
459	5.266265681
460	5.26472328
461	5.26392742
462	5.261581811
463	5.260910809
464	5.260202636
465	5.259459085
466	5.258161894
467	5.256562458
468	5.254915386
469	5.253826954
470	5.252811357
471	5.251579577
472	5.250807078
473	5.249973707
474	5.249123895
475	5.24825831
476	5.245920859
477	5.24486641
478	5.243636448
479	5.242539551
480	5.241961483
481	5.241112743
482	5.240204666
483	5.239326634
484	5.238532963
485	5.238123274
486	5.237397466
487	5.236521213
488	5.235432045
489	5.234447025
490	5.233691609
491	5.232851979
492	5.232148713
493	5.231486662
494	5.230505497
495	5.229485098
496	5.227613228
