iter	Passed	Remaining
0	23	23379
1	46	23001
2	67	22372
3	90	22593
4	112	22440
5	133	22065
6	154	21882
7	175	21813
8	197	21709
9	218	21603
10	240	21599
11	260	21440
12	278	21169
13	299	21070
14	319	21005
15	340	20968
16	360	20844
17	379	20699
18	398	20590
19	418	20494
20	438	20431
21	456	20299
22	477	20264
23	496	20201
24	516	20127
25	537	20117
26	556	20069
27	575	19976
28	597	19994
29	616	19939
30	636	19888
31	655	19834
32	676	19819
33	696	19787
34	715	19723
35	733	19647
36	753	19607
37	772	19550
38	792	19537
39	814	19537
40	832	19478
41	852	19446
42	870	19376
43	890	19342
44	910	19319
45	928	19254
46	946	19195
47	965	19149
48	986	19152
49	1006	19122
50	1026	19109
51	1045	19065
52	1065	19043
53	1085	19019
54	1104	18979
55	1123	18942
56	1142	18901
57	1163	18894
58	1182	18866
59	1201	18831
60	1222	18814
61	1242	18797
62	1261	18755
63	1279	18717
64	1298	18672
65	1317	18645
66	1337	18622
67	1354	18570
68	1373	18531
69	1393	18517
70	1415	18516
71	1434	18491
72	1453	18453
73	1472	18430
74	1491	18395
75	1511	18372
76	1530	18340
77	1549	18319
78	1568	18283
79	1587	18252
80	1605	18215
81	1624	18182
82	1643	18156
83	1662	18134
84	1682	18108
85	1701	18080
86	1720	18060
87	1741	18044
88	1760	18019
89	1781	18013
90	1801	17994
91	1821	17972
92	1842	17968
93	1861	17942
94	1880	17915
95	1901	17907
96	1922	17894
97	1942	17875
98	1962	17861
99	1982	17845
100	2002	17826
101	2022	17805
102	2043	17798
103	2062	17765
104	2082	17747
105	2103	17736
106	2122	17710
107	2141	17684
108	2161	17667
109	2180	17640
110	2199	17611
111	2217	17580
112	2235	17548
113	2256	17534
114	2275	17513
115	2294	17482
116	2314	17464
117	2331	17429
118	2351	17411
119	2369	17379
120	2388	17354
121	2410	17344
122	2428	17318
123	2448	17300
124	2470	17291
125	2490	17275
126	2509	17250
127	2528	17223
128	2546	17195
129	2566	17174
130	2584	17143
131	2602	17115
132	2622	17094
133	2641	17074
134	2661	17052
135	2681	17032
136	2700	17010
137	2725	17026
138	2745	17004
139	2765	16989
140	2785	16970
141	2805	16948
142	2831	16966
143	2851	16951
144	2873	16946
145	2895	16936
146	2926	16982
147	2949	16976
148	2970	16967
149	2994	16967
150	3014	16950
151	3036	16937
152	3057	16923
153	3078	16911
154	3099	16898
155	3122	16891
156	3144	16883
157	3166	16875
158	3195	16899
159	3218	16895
160	3239	16880
161	3261	16872
162	3282	16855
163	3303	16840
164	3324	16826
165	3347	16820
166	3373	16825
167	3392	16801
168	3411	16776
169	3431	16754
170	3450	16728
171	3469	16704
172	3489	16680
173	3508	16653
174	3526	16626
175	3545	16598
176	3565	16577
177	3585	16558
178	3605	16535
179	3624	16512
180	3643	16486
181	3663	16465
182	3682	16440
183	3702	16417
184	3721	16393
185	3739	16364
186	3758	16341
187	3778	16318
188	3798	16298
189	3817	16276
190	3836	16250
191	3854	16221
192	3874	16200
193	3893	16174
194	3912	16152
195	3933	16135
196	3953	16113
197	3971	16088
198	3991	16064
199	4011	16044
200	4032	16028
201	4051	16006
202	4069	15975
203	4088	15955
204	4108	15932
205	4127	15909
206	4147	15888
207	4165	15861
208	4183	15833
209	4203	15811
210	4222	15791
211	4243	15771
212	4263	15754
213	4282	15728
214	4301	15706
215	4320	15682
216	4339	15658
217	4358	15633
218	4376	15609
219	4395	15584
220	4413	15558
221	4433	15536
222	4455	15523
223	4477	15510
224	4497	15490
225	4517	15469
226	4535	15445
227	4554	15419
228	4573	15399
229	4593	15377
230	4613	15359
231	4632	15335
232	4652	15314
233	4672	15294
234	4690	15270
235	4710	15249
236	4729	15226
237	4749	15206
238	4767	15181
239	4787	15161
240	4808	15144
241	4828	15123
242	4847	15101
243	4867	15080
244	4886	15059
245	4906	15038
246	4926	15018
247	4944	14993
248	4963	14970
249	4983	14949
250	5002	14928
251	5020	14901
252	5039	14878
253	5058	14856
254	5078	14836
255	5098	14816
256	5117	14793
257	5136	14772
258	5155	14748
259	5175	14730
260	5194	14708
261	5213	14685
262	5233	14665
263	5251	14640
264	5270	14617
265	5289	14596
266	5310	14578
267	5330	14560
268	5350	14539
269	5368	14514
270	5387	14492
271	5406	14471
272	5426	14450
273	5445	14427
274	5464	14405
275	5483	14384
276	5503	14364
277	5523	14343
278	5540	14318
279	5560	14297
280	5579	14275
281	5598	14253
282	5616	14230
283	5635	14208
284	5655	14187
285	5674	14166
286	5692	14142
287	5712	14121
288	5730	14097
289	5750	14078
290	5769	14057
291	5788	14034
292	5807	14013
293	5827	13992
294	5846	13972
295	5866	13951
296	5884	13929
297	5904	13909
298	5923	13886
299	5942	13865
300	5963	13848
301	5983	13828
302	6002	13808
303	6021	13786
304	6040	13765
305	6060	13744
306	6078	13721
307	6094	13693
308	6113	13671
309	6130	13644
310	6148	13622
311	6167	13600
312	6187	13581
313	6205	13558
314	6224	13535
315	6243	13514
316	6262	13493
317	6284	13477
318	6303	13456
319	6322	13434
320	6340	13412
321	6361	13395
322	6381	13375
323	6402	13358
324	6423	13340
325	6445	13325
326	6464	13305
327	6483	13283
328	6504	13265
329	6523	13244
330	6542	13223
331	6561	13201
332	6579	13179
333	6599	13159
334	6619	13139
335	6638	13118
336	6657	13097
337	6676	13075
338	6696	13056
339	6716	13037
340	6734	13015
341	6750	12988
342	6771	12971
343	6786	12941
