iter	Passed	Remaining
0	971	970280
1	1796	896233
2	2572	854985
3	3417	850921
4	4216	839026
5	5045	835888
6	5850	829959
7	6594	817738
8	7488	824582
9	8422	833801
10	9237	830537
11	9988	822391
12	10776	818189
13	11692	823467
14	12415	815290
15	13225	813367
16	14033	811451
17	14919	813960
18	15836	817667
19	16544	810694
20	17290	806058
21	18054	802595
22	18887	802296
23	19705	801354
24	20499	799477
25	21374	800723
26	22122	797239
27	22940	796357
28	23733	794659
29	24434	790058
30	25159	786424
31	25916	783968
32	26661	781256
33	27419	779036
34	28385	782637
35	29168	781055
36	30040	781865
37	30910	782531
38	31725	781749
39	32466	779190
40	33227	777201
41	33995	775414
42	34716	772641
43	35490	771104
44	36249	769287
45	36963	766596
46	37747	765398
47	38525	764091
48	39216	761114
49	40036	760684
50	40776	758758
51	41509	756742
52	42256	755030
53	42995	753223
54	43828	753061
55	44622	752207
56	45460	752094
57	46295	751901
58	47197	752767
59	48021	752334
60	48861	752147
61	49665	751384
62	50402	749636
63	51148	748049
64	51855	745925
65	52706	745878
66	53659	747226
67	54452	746312
68	55259	745603
69	56148	745967
70	57050	746473
71	57751	744358
72	58513	743037
73	59455	743997
74	60281	743471
75	61134	743269
76	61827	741123
77	62532	739161
78	63384	738949
79	64212	738438
80	65047	738004
81	65795	736585
82	66679	736689
83	67481	735870
84	68265	734859
85	69024	733580
86	69768	732172
87	70629	731974
88	71409	730943
89	72273	730765
90	73031	729508
91	73766	728039
92	74526	726834
93	75360	726350
94	76225	726145
95	77083	725867
96	77876	724975
97	78641	723824
98	79476	723320
99	80324	722920
100	81141	722239
101	81907	721102
102	82662	719885
103	83424	718730
104	84189	717613
105	85004	716926
106	85714	715354
107	86400	713600
108	87108	712054
109	87802	710398
110	88561	709292
111	89267	707760
112	89977	706282
113	90714	705026
114	91466	703891
115	92215	702746
116	92952	701511
117	93670	700149
118	94434	699129
119	95260	698580
120	96036	697652
121	96897	697342
122	97625	696080
123	98422	695305
124	99122	693855
125	100039	693925
126	100760	692626
127	101460	691200
128	102185	689951
129	102909	688698
130	103641	687517
131	104338	686104
132	105061	684876
133	105796	683726
134	106487	682311
135	107181	680920
136	107895	679662
137	108591	678306
138	109306	677069
139	110007	675762
140	110705	674436
141	111424	673255
142	112161	672185
143	112872	670966
144	113574	669696
145	114275	668436
146	115090	667837
147	115889	667146
148	116683	666429
149	117411	665331
150	118136	664226
151	118928	663498
152	119763	663004
153	120510	662023
154	121290	661229
155	122023	660175
156	122831	659534
157	123621	658790
158	124415	658071
159	125144	657006
160	125950	656352
161	126843	656141
162	127642	655440
163	128497	655025
164	129431	655004
165	130188	654078
166	130922	653046
167	131665	652055
168	132492	651487
169	133357	651097
170	134250	650840
171	135086	650298
172	135875	649533
173	136682	648849
174	137418	647828
175	138125	646677
176	138827	645510
177	139563	644501
178	140255	643295
179	141094	642765
180	141845	641832
181	142578	640820
182	143293	639732
183	144165	639341
184	145068	639084
185	145808	638106
186	146733	637935
187	147533	637219
188	148437	636946
189	149214	636124
190	150020	635426
191	150899	635036
192	151687	634259
193	152409	633208
194	153147	632223
195	153913	631359
196	154679	630493
197	155416	629514
198	156136	628467
199	156887	627550
200	157621	626563
201	158320	625445
202	159122	624730
203	159892	623893
204	160612	622864
205	161325	621809
206	162070	620877
207	162824	619985
208	163586	619122
209	164303	618095
210	165018	617059
211	165702	615912
212	166644	615722
213	167343	614635
214	168143	613919
215	168868	612931
216	169667	612208
217	170358	611100
218	171083	610119
219	171813	609156
220	172492	608016
221	173239	607117
222	173983	606212
223	174683	605155
224	175387	604113
225	176137	603231
226	176935	602515
227	177701	601689
228	178473	600887
229	179269	600164
230	180113	599600
231	180866	598729
232	181633	597910
233	182538	597540
234	183406	597045
235	184140	596115
236	184900	595271
237	185657	594416
238	186355	593374
239	187081	592425
240	187766	591346
241	188478	590357
242	189204	589415
243	189939	588501
244	190628	587446
245	191323	586413
246	192072	585550
247	192820	584680
248	193569	583817
249	194435	583306
250	195336	582896
251	196156	582241
252	196921	581425
253	197636	580461
254	198387	579602
255	199202	578932
256	200107	578522
257	200915	577827
258	201646	576911
259	202419	576116
260	203151	575207
261	203875	574274
262	204690	573599
263	205575	573118
264	206288	572160
265	207118	571521
266	207820	570532
267	208584	569717
268	209316	568811
269	210193	568300
270	210905	567342
271	211822	566936
272	212601	566157
273	213362	565331
274	214057	564333
275	214809	563484
276	215554	562620
277	216263	561663
278	217129	561112
279	217852	560192
280	218565	559246
281	219320	558412
282	220085	557601
283	220833	556750
284	221563	555851
285	222334	555058
286	223077	554196
287	223872	553462
288	224640	552661
289	225399	551839
290	226148	550992
291	226844	550019
292	227551	549075
293	228457	548609
294	229217	547790
295	229998	547024
296	230709	546091
297	231453	545235
298	232229	544457
299	233005	543678
300	233860	543083
301	234707	542468
302	235494	541714
303	236229	540840
304	236927	539884
305	237700	539099
306	238431	538218
307	239135	537278
308	239862	536392
309	240585	535496
310	241281	534543
311	242002	533646
312	242741	532789
313	243488	531953
314	244208	531055
315	244952	530214
316	245667	529309
317	246364	528365
318	247091	527489
319	247829	526638
320	248535	525717
321	249248	524815
322	249944	523876
323	250644	522948
324	251366	522068
325	252086	521183
326	252790	520269
327	253492	519351
328	254192	518428
329	254896	517517
330	255601	516607
331	256325	515738
332	257038	514848
333	257772	514001
334	258503	513148
335	259201	512230
336	259896	511308
337	260631	510466
338	261338	509572
339	262033	508653
