iter	Passed	Remaining
0	4	870
1	8	868
2	13	861
3	16	821
4	20	793
5	24	781
6	28	776
7	31	767
8	36	765
9	40	770
10	44	769
11	48	762
12	52	756
13	56	751
14	60	746
15	64	739
16	68	741
17	73	744
18	78	747
19	82	741
20	86	734
21	90	728
22	94	724
23	97	718
24	102	715
25	107	716
26	111	711
27	115	707
28	119	702
29	123	699
30	127	694
31	130	686
32	134	680
33	138	677
34	142	669
35	146	665
36	148	655
37	151	647
38	155	641
39	158	633
40	161	626
41	164	618
42	167	611
43	171	608
44	174	602
45	177	594
46	180	587
47	182	579
48	185	571
49	188	564
50	190	557
51	194	553
52	198	549
53	201	543
54	203	537
55	207	532
56	209	526
57	212	519
58	214	513
59	217	507
60	221	504
61	224	499
62	226	493
63	229	488
64	232	482
65	235	478
66	238	474
67	241	468
68	244	463
69	246	458
70	249	453
71	253	450
72	256	445
73	258	440
74	261	436
75	264	431
76	268	428
77	270	423
78	273	418
79	275	413
80	278	409
81	281	405
82	284	400
83	287	396
84	289	391
85	292	387
86	294	382
87	297	378
88	299	374
89	302	369
90	305	365
91	307	361
92	311	358
93	314	355
94	317	351
95	320	347
96	322	342
97	325	338
98	328	334
99	330	330
100	333	326
101	335	322
102	337	318
103	340	314
104	343	310
105	346	306
106	348	302
107	351	299
108	354	295
109	357	292
110	360	289
111	363	285
112	365	281
113	367	277
114	370	273
115	373	270
116	376	267
117	379	263
118	381	259
119	384	256
120	386	252
121	389	249
122	391	245
123	394	241
124	397	238
125	399	234
126	402	231
127	405	228
128	408	225
129	411	221
130	414	218
131	417	215
132	419	211
133	422	208
134	425	204
135	427	201
136	430	197
137	432	194
138	435	191
139	437	187
140	440	184
141	443	181
142	446	177
143	449	174
144	451	171
145	454	168
146	461	166
147	469	165
148	473	161
149	476	158
150	479	155
151	481	152
152	487	149
153	491	146
154	494	143
155	497	140
156	500	137
157	504	134
158	507	130
159	511	127
160	514	124
161	518	121
162	521	118
163	523	115
164	526	111
165	530	108
166	533	105
167	536	102
168	541	99
169	545	96
170	548	92
171	550	89
172	554	86
173	559	83
174	562	80
175	565	77
176	568	73
177	572	70
178	575	67
179	579	64
180	581	61
181	585	57
182	589	54
183	592	51
184	595	48
185	598	45
186	601	41
187	605	38
188	607	35
189	610	32
190	613	28
191	616	25
192	620	22
193	623	19
194	626	16
195	629	12
196	632	9
197	636	6
198	639	3
199	642	0
