iter	MultiClass
0	1.303440967
1	1.231936388
2	1.177984194
3	1.1218573
4	1.080904807
5	1.04473446
6	1.018120251
7	0.9895586699
8	0.9624541188
9	0.9394801433
10	0.9148738223
11	0.8955559029
12	0.873176663
13	0.8575694036
14	0.8380195858
15	0.8250333675
16	0.8056215102
17	0.7907234705
18	0.7757432893
19	0.7650477435
20	0.7533726798
21	0.7410845894
22	0.7296176407
23	0.7185405953
24	0.7093376774
25	0.7011651055
26	0.6917348877
27	0.6830749123
28	0.6761493712
29	0.6678348538
30	0.6618077156
31	0.6545351351
32	0.647704992
33	0.6414327785
34	0.6345780492
35	0.6283061319
36	0.6216045304
37	0.6152398907
38	0.6100968657
39	0.6049095012
40	0.599105967
41	0.5939253123
42	0.5891047753
43	0.5842770807
44	0.5794670183
45	0.5748270889
46	0.570149118
47	0.5652223527
48	0.5600857374
49	0.5552687794
50	0.5504431818
51	0.5456890891
52	0.5421877503
53	0.5378744159
54	0.5335986761
55	0.5296435707
56	0.5257553765
57	0.522282112
58	0.5189495749
59	0.5151730353
60	0.5115933871
61	0.5082428141
62	0.5053674207
63	0.5021726933
64	0.4995637084
65	0.4960529454
66	0.4922500579
67	0.4893383815
68	0.4868175277
69	0.4841653083
70	0.4812290649
71	0.479024107
72	0.4762935723
73	0.4741420276
74	0.4718069083
75	0.4690931413
76	0.4667814834
77	0.4640023035
78	0.4610214387
79	0.4584908021
80	0.4558908979
81	0.4537144954
82	0.4514428095
83	0.4480765646
84	0.4455913953
85	0.4433891272
86	0.4410996301
87	0.4384444302
88	0.4358741939
89	0.4342515114
90	0.4314082557
91	0.428932434
92	0.4270790277
93	0.4245437387
94	0.4223060275
95	0.4202793217
96	0.4183225561
97	0.415806336
98	0.4129256017
99	0.411019979
100	0.4092164663
101	0.4072957398
102	0.4055802419
103	0.4038018888
104	0.4018804082
105	0.3995175704
106	0.3977948665
107	0.3959289421
108	0.3944238391
109	0.3927325973
110	0.3907575507
111	0.3888198668
112	0.3874958457
113	0.3858458235
114	0.3845032981
115	0.3826155758
116	0.3807903789
117	0.3786758088
118	0.3768797206
119	0.3751461996
120	0.3736149159
121	0.371953491
122	0.3710342058
123	0.3694094175
124	0.3678629863
125	0.3662476809
126	0.3647569304
127	0.3630884189
128	0.3615464588
129	0.3604887483
130	0.358704
131	0.3575219024
132	0.3560502977
133	0.3543524524
134	0.3531627509
135	0.3514244652
136	0.3492910885
137	0.3482237268
138	0.3467520701
139	0.3451612042
140	0.3434043432
141	0.3419513597
142	0.3407736732
143	0.3395889759
144	0.3385667629
145	0.337086342
146	0.3356996599
147	0.3344429849
148	0.3332832874
149	0.3318404379
150	0.3305544494
151	0.3293863397
152	0.3279218208
153	0.3266975932
154	0.3255519124
155	0.3241711897
156	0.3228903312
157	0.3217687705
158	0.3204593879
159	0.3194208304
160	0.3180995762
161	0.3168961167
162	0.3151293059
163	0.3140532698
164	0.3128965976
165	0.3115085261
166	0.310876396
167	0.3096273717
168	0.3087598454
169	0.3077609509
170	0.3070052218
171	0.3060365278
172	0.305069144
173	0.3042195232
174	0.3031645412
175	0.301755527
176	0.3004462547
177	0.299309282
178	0.298574975
179	0.2975082985
180	0.2963979181
181	0.2957359481
182	0.2943810159
183	0.2934666762
184	0.2921570738
185	0.2912902197
186	0.2903381651
187	0.2894082572
188	0.2881860422
189	0.2871506718
190	0.2860054994
191	0.2851826823
192	0.2843041172
193	0.2833416058
194	0.2825930499
195	0.281069839
196	0.279867624
197	0.2787665149
198	0.2778946626
199	0.2770631788
200	0.2762246367
201	0.2755983801
202	0.2747508466
203	0.2736386943
204	0.2727248105
205	0.2717450582
206	0.2706180711
207	0.2694582894
208	0.2687308715
209	0.2677404921
210	0.2668842643
211	0.2661156443
212	0.2653703184
213	0.2649197403
214	0.2640838513
215	0.2632071543
216	0.2625007278
217	0.2616058677
218	0.2607339148
219	0.2598734981
220	0.2589675004
221	0.2581916261
222	0.2573672016
223	0.2567673108
224	0.2560280896
225	0.2554287373
226	0.2548134492
227	0.2539024147
228	0.2529796555
229	0.2522175319
230	0.2514735737
231	0.2507518879
232	0.249763653
233	0.2491461433
234	0.2482101421
235	0.247475343
236	0.2465820103
237	0.2462046927
238	0.2454259211
239	0.244351875
240	0.2436587111
241	0.2429668346
242	0.2423331011
243	0.241734542
244	0.2408093366
245	0.2400184125
246	0.2390684841
247	0.2383574892
248	0.2375010461
249	0.2370402237
250	0.2363580559
251	0.2354965274
252	0.234769164
253	0.2340456459
254	0.2334102354
255	0.2324838782
256	0.2318513119
257	0.2309034185
258	0.2303124396
259	0.2298054311
260	0.2291256473
261	0.2284082414
262	0.227620572
263	0.2270399589
264	0.2262881873
265	0.2256560544
266	0.2250254037
267	0.2244098834
268	0.2237269307
269	0.223361669
270	0.2228417754
271	0.2224863081
272	0.2219278508
273	0.2211543027
274	0.2204969904
275	0.219870992
276	0.2194008741
