iter	Logloss
0	0.6849877093
1	0.6780736979
2	0.6716535533
3	0.6660089829
4	0.660974404
5	0.6559875637
6	0.6520904241
7	0.6469274501
8	0.6432260842
9	0.6387680771
10	0.6356623282
11	0.6328199539
12	0.6301931656
13	0.6276737635
14	0.6251408885
15	0.6229997481
16	0.619603127
17	0.6181274331
18	0.6162933935
19	0.6135745988
20	0.6120972814
21	0.6094261474
22	0.607268861
23	0.6058953059
24	0.6040509175
25	0.6025632444
26	0.6011273073
27	0.5994773845
28	0.5978330326
29	0.5967652153
30	0.595349419
31	0.5940801914
32	0.5924360766
33	0.5905096868
34	0.5892539294
35	0.5875170215
36	0.5864724771
37	0.5852927211
38	0.5842576786
39	0.5835050446
40	0.5825491386
41	0.5815023303
42	0.5807036826
43	0.5796102488
44	0.5788883338
45	0.5780265279
46	0.5772958033
47	0.576328653
48	0.5756711374
49	0.5743921027
50	0.5735124843
51	0.5722610879
52	0.571703326
53	0.5707563837
54	0.5701570574
55	0.5690780602
56	0.5684749568
57	0.5677850953
58	0.5674131721
59	0.5662363035
60	0.5653905024
61	0.5647393176
62	0.5642162074
63	0.5636201766
64	0.5629268884
65	0.5625066316
66	0.5621277707
67	0.5612818503
68	0.5604453868
69	0.5595666236
70	0.5589526701
71	0.5587353972
72	0.5580676777
73	0.5575200783
74	0.5569760352
75	0.5563131975
76	0.5557435949
77	0.5553147488
78	0.5546409232
79	0.5535757404
80	0.5529619787
81	0.5526218893
82	0.5522929974
83	0.5518419942
84	0.5510655939
85	0.5501982881
86	0.5496253986
87	0.5492581881
88	0.5484858677
89	0.5480929577
90	0.5472070351
91	0.5464868611
92	0.5458613065
93	0.5451859225
94	0.544841193
95	0.5445188227
96	0.5442460416
97	0.543446996
98	0.5432027429
99	0.5425641717
100	0.5421492409
101	0.5416386125
102	0.5412968292
103	0.5407973601
104	0.5402835884
105	0.5398861754
106	0.5394731938
107	0.538723001
108	0.5384080162
109	0.5380848888
110	0.5376987292
111	0.5372857878
112	0.5368322611
113	0.53627435
114	0.5356172479
115	0.5354574433
116	0.535271134
117	0.5348730982
118	0.5346647084
119	0.5344846774
120	0.5338207401
121	0.5333090577
122	0.5328719691
123	0.5327145801
124	0.5321089024
125	0.5319865948
126	0.5317536427
127	0.5313195753
128	0.5309224225
129	0.5305664762
130	0.5303399405
131	0.5301158953
132	0.5298052914
133	0.5294878943
134	0.5290835324
135	0.5288080435
136	0.5282604614
137	0.5277009521
138	0.5274017099
139	0.5271853032
140	0.5268482124
141	0.5263314453
142	0.5259638034
143	0.5258266612
144	0.5255328175
145	0.5251591834
146	0.52465112
147	0.5244092028
148	0.5242047857
149	0.5240063185
150	0.5235141164
151	0.5229544355
152	0.5224931453
153	0.5219909454
154	0.5216856979
155	0.521491884
156	0.5213334219
157	0.5211203949
158	0.5207143088
159	0.5202615024
160	0.5200719373
161	0.5198429427
162	0.5195389136
163	0.5190869547
164	0.518780811
165	0.5185026509
166	0.5183503309
167	0.5179221677
168	0.5176572344
169	0.5172410511
170	0.5169869478
171	0.5165965326
172	0.516432857
173	0.5161246211
174	0.5158735422
175	0.5151768908
176	0.5147005571
177	0.5144343962
178	0.5141723678
179	0.5138858977
180	0.5136876218
181	0.5134112937
182	0.5130500689
183	0.5128279412
184	0.5125985009
185	0.5121036289
186	0.5118390909
187	0.5116353597
188	0.5112072231
189	0.5109448493
190	0.5103796294
191	0.5101768079
192	0.5098627389
193	0.5096940089
194	0.5093879292
195	0.5090805841
196	0.5088038053
197	0.5086050781
198	0.5081401024
