iter	Passed	Remaining
0	28	28447
1	41	20817
2	55	18363
3	68	17035
4	81	16143
5	93	15499
6	105	14956
7	117	14588
8	130	14399
9	143	14194
10	156	14041
11	168	13857
12	183	13896
13	196	13819
14	208	13718
15	222	13660
16	236	13679
17	249	13628
18	264	13641
19	280	13724
20	293	13700
21	307	13679
22	325	13821
23	340	13850
24	354	13833
25	373	13985
26	389	14026
27	402	13961
28	416	13953
29	430	13929
30	445	13933
31	459	13901
32	473	13867
33	493	14018
34	509	14037
35	523	14024
36	537	13983
37	551	13970
38	565	13923
39	578	13879
40	591	13823
41	606	13839
42	621	13822
43	635	13813
44	649	13781
45	662	13746
46	676	13720
47	690	13699
48	705	13695
49	718	13655
50	732	13629
51	748	13640
52	762	13627
53	776	13606
54	790	13582
55	805	13578
56	820	13568
57	835	13565
58	850	13556
59	863	13532
60	878	13518
61	892	13505
62	907	13496
63	920	13463
64	933	13432
65	946	13397
66	960	13379
67	974	13353
68	986	13309
69	999	13282
70	1012	13241
71	1024	13205
72	1036	13162
73	1048	13122
74	1061	13092
75	1074	13058
76	1086	13024
77	1098	12983
78	1110	12949
79	1123	12914
80	1135	12881
81	1148	12854
82	1159	12814
83	1171	12779
84	1183	12740
85	1195	12708
86	1207	12673
87	1220	12643
88	1231	12609
89	1244	12586
90	1257	12562
91	1269	12530
92	1281	12499
93	1293	12470
94	1306	12441
95	1317	12407
96	1329	12376
97	1341	12344
98	1352	12311
99	1364	12281
100	1375	12243
101	1387	12212
102	1399	12185
103	1411	12158
104	1430	12195
105	1443	12178
106	1455	12151
107	1467	12121
108	1480	12102
109	1492	12074
110	1505	12054
111	1517	12030
112	1530	12012
113	1542	11987
114	1554	11961
115	1565	11931
116	1577	11905
117	1588	11875
118	1600	11847
119	1612	11822
120	1623	11790
121	1634	11766
122	1648	11751
123	1658	11719
124	1671	11700
125	1684	11681
126	1696	11661
127	1708	11639
128	1721	11623
129	1732	11597
130	1744	11572
131	1756	11551
132	1768	11525
133	1779	11499
134	1791	11477
135	1804	11462
136	1816	11442
137	1827	11417
138	1839	11394
139	1852	11377
140	1864	11357
141	1877	11346
142	1890	11331
143	1902	11310
144	1927	11368
145	1940	11347
146	1951	11326
147	1963	11302
148	1974	11279
149	1986	11259
150	1998	11238
151	2010	11217
152	2022	11199
153	2035	11181
154	2048	11166
155	2064	11166
156	2076	11150
157	2088	11132
158	2102	11122
159	2116	11109
160	2129	11098
161	2143	11086
162	2156	11073
163	2168	11055
164	2181	11040
165	2194	11024
166	2208	11017
167	2223	11011
168	2235	10993
169	2264	11058
170	2277	11041
171	2291	11030
172	2305	11022
173	2319	11009
174	2331	10993
175	2345	10979
176	2357	10962
177	2371	10950
178	2385	10939
179	2397	10920
180	2409	10903
181	2423	10890
182	2435	10872
183	2449	10862
184	2461	10844
185	2474	10830
186	2487	10814
187	2500	10802
188	2514	10789
189	2527	10776
190	2540	10761
191	2553	10747
192	2568	10738
193	2581	10725
194	2598	10729
195	2612	10716
196	2626	10706
197	2639	10693
198	2655	10687
199	2669	10677
200	2682	10663
201	2696	10650
202	2709	10638
203	2723	10626
204	2736	10612
205	2749	10596
206	2763	10585
207	2777	10574
208	2790	10561
209	2804	10551
210	2818	10540
211	2832	10528
212	2846	10517
213	2860	10505
214	2876	10504
215	2892	10497
216	2906	10488
217	2920	10476
218	2933	10463
219	2948	10452
220	2963	10444
221	2978	10437
222	2991	10423
223	3005	10411
224	3018	10397
225	3031	10383
226	3049	10382
227	3062	10368
228	3076	10357
229	3090	10345
230	3104	10336
231	3119	10325
232	3131	10308
233	3146	10299
234	3159	10285
235	3174	10277
236	3189	10269
237	3204	10259
238	3218	10249
239	3232	10237
240	3246	10223
241	3260	10212
242	3272	10195
243	3286	10182
244	3303	10178
245	3317	10168
246	3336	10172
247	3352	10165
248	3366	10153
249	3380	10141
250	3395	10131
251	3408	10116
252	3421	10103
253	3436	10092
254	3450	10081
255	3464	10069
256	3476	10051
