iter	Passed	Remaining
0	192	191830
1	246	123017
2	299	99688
3	330	82222
4	358	71438
5	382	63348
6	408	57979
7	433	53715
8	463	51001
9	487	48221
10	513	46142
11	541	44574
12	574	43615
13	601	42382
14	636	41777
15	673	41446
16	710	41060
17	750	40930
18	787	40637
19	822	40323
20	842	39279
21	879	39118
22	912	38740
23	933	37972
24	962	37555
25	983	36836
26	1008	36349
27	1037	36015
28	1052	35238
29	1081	34961
30	1109	34692
31	1121	33929
32	1150	33714
33	1180	33529
34	1208	33312
35	1219	32658
36	1252	32596
37	1283	32484
38	1302	32091
39	1311	31486
40	1340	31345
41	1369	31240
42	1394	31025
43	1426	30995
44	1453	30855
45	1485	30810
46	1516	30747
47	1541	30575
48	1570	30478
49	1598	30375
50	1611	29978
51	1624	29620
52	1655	29572
53	1663	29138
54	1698	29185
55	1733	29221
56	1765	29208
57	1772	28795
58	1804	28786
59	1834	28742
60	1841	28352
61	1868	28274
62	1902	28302
63	1932	28261
64	1961	28209
65	1989	28155
66	2015	28060
67	2021	27704
68	2048	27633
69	2070	27506
70	2090	27358
71	2097	27036
72	2125	26988
73	2152	26933
74	2180	26891
75	2206	26820
76	2232	26764
77	2260	26724
78	2284	26638
79	2310	26569
80	2332	26467
81	2361	26436
82	2389	26400
83	2415	26345
84	2443	26302
85	2450	26040
86	2477	25999
87	2503	25943
88	2526	25858
89	2553	25823
90	2560	25579
91	2590	25566
92	2617	25528
93	2645	25499
94	2673	25473
95	2699	25416
96	2723	25353
97	2744	25264
98	2770	25218
99	2799	25196
100	2829	25187
101	2835	24966
102	2863	24933
103	2887	24880
104	2915	24853
105	2921	24642
106	2943	24569
107	2966	24498
108	3003	24552
109	3037	24574
110	3066	24557
111	3090	24500
112	3097	24312
113	3122	24265
114	3128	24074
115	3149	24005
116	3173	23950
117	3189	23836
118	3213	23792
119	3243	23786
120	3268	23745
121	3297	23730
122	3322	23691
123	3348	23658
124	3370	23591
125	3384	23477
126	3413	23467
127	3443	23456
128	3470	23433
129	3494	23386
130	3520	23350
131	3546	23324
132	3571	23281
133	3596	23245
134	3623	23218
135	3651	23194
136	3675	23155
137	3702	23129
138	3730	23106
139	3755	23068
140	3779	23023
141	3806	23002
142	3830	22955
143	3858	22935
144	3882	22891
145	3910	22874
146	3935	22833
147	3961	22805
148	3984	22759
149	4005	22697
150	4022	22618
151	4052	22608
152	4084	22609
153	4113	22599
154	4141	22578
155	4171	22566
156	4196	22530
157	4205	22412
158	4235	22402
159	4265	22394
160	4301	22415
161	4331	22408
162	4363	22406
163	4394	22400
164	4426	22402
165	4439	22305
166	4474	22320
167	4507	22322
168	4535	22302
169	4605	22487
170	4636	22479
171	4686	22558
172	4712	22527
173	4743	22516
174	4771	22495
175	4804	22494
176	4836	22488
177	4867	22479
178	4900	22475
179	4932	22471
180	4964	22464
181	4976	22368
182	5005	22349
183	5036	22336
184	5067	22326
185	5097	22306
186	5107	22206
187	5139	22197
188	5171	22190
189	5202	22176
190	5231	22157
191	5258	22131
192	5285	22099
193	5300	22022
194	5329	21999
195	5361	21992
196	5393	21983
197	5404	21892
198	5432	21868
199	5459	21839
200	5485	21805
201	5514	21783
202	5535	21733
203	5563	21709
204	5570	21603
205	5596	21570
206	5626	21555
207	5660	21552
208	5687	21526
209	5713	21494
210	5737	21454
211	5761	21415
212	5789	21391
213	5819	21375
214	5850	21359
215	5876	21330
