iter	Logloss
0	0.4952845542
1	0.4142961919
2	0.3820909638
3	0.3654505551
4	0.3580769375
5	0.3552869641
6	0.3536081105
7	0.3527049947
8	0.352223588
9	0.3509641377
10	0.3507710152
11	0.3506174186
12	0.350343052
13	0.3500354369
14	0.3495045882
15	0.3492788706
16	0.3491921598
17	0.3487802336
18	0.3486937275
19	0.3483550427
20	0.3482545758
21	0.3482099706
22	0.348164083
23	0.3481152866
24	0.3479506597
25	0.3478928954
26	0.3477950829
27	0.3477142183
28	0.3476415179
29	0.347595585
30	0.3475149592
31	0.3474386062
32	0.3473754907
33	0.3473233576
34	0.347280757
35	0.34720719
36	0.3471024386
37	0.3470341364
38	0.3469712221
39	0.3469255372
40	0.3468769906
41	0.346844684
42	0.3468038654
43	0.3467750145
44	0.34669845
45	0.3466790622
46	0.346602367
47	0.3465529678
48	0.3465270248
49	0.3464726713
50	0.3464243337
51	0.3463721033
52	0.3463335618
53	0.3462999856
54	0.3462605802
55	0.3462248975
56	0.346182823
57	0.3461448146
58	0.3460889355
59	0.3460601166
60	0.3459988231
61	0.3459658251
62	0.345918681
63	0.3459070969
64	0.3458446171
65	0.3458270115
66	0.3457931019
67	0.3457608991
68	0.345697826
69	0.345675055
70	0.345645027
71	0.3456186715
72	0.3455895973
73	0.3455570467
74	0.3455307838
75	0.3455173902
76	0.3454952867
77	0.3454885641
78	0.3454650981
79	0.3454321387
80	0.3454144641
81	0.3453880079
82	0.3453539898
83	0.3453218638
84	0.3452934995
85	0.3452609984
86	0.3452435374
87	0.345230004
88	0.3451970307
89	0.3451612217
90	0.3451277857
91	0.3450985874
92	0.3450682477
93	0.3450519957
94	0.3450141006
95	0.3449835914
96	0.3449711666
97	0.3449494156
98	0.3449384131
99	0.3449174409
100	0.3449061979
101	0.3448948582
102	0.3448887615
103	0.3448579332
104	0.3448431841
105	0.3448349425
106	0.344803219
107	0.344799653
108	0.3447916194
109	0.344768088
110	0.3447461514
111	0.3447183116
112	0.3446890933
113	0.3446706809
114	0.3446524999
115	0.3446404608
116	0.3446127498
117	0.3445941626
118	0.3445729625
119	0.3445638796
120	0.3445421817
121	0.3445331504
122	0.3445269066
123	0.3444956287
124	0.3444774368
125	0.3444349926
126	0.3444146968
127	0.3443921709
128	0.3443850129
129	0.3443697038
130	0.3443637881
131	0.3443431898
132	0.3443333706
133	0.3443190042
134	0.3442988185
135	0.3442831772
136	0.344263292
137	0.3442274673
138	0.3442236606
139	0.3442102658
140	0.3441921163
141	0.3441841076
142	0.3441745494
143	0.3441481283
144	0.3441414871
145	0.3441247678
146	0.3441116066
147	0.3440941065
148	0.3440747557
149	0.3440501461
150	0.3440340268
151	0.3440319028
152	0.3440117582
153	0.3440017384
154	0.3439897977
155	0.3439845282
156	0.3439756874
157	0.3439580081
158	0.3439364418
159	0.3439320031
160	0.3439106748
161	0.3438979639
162	0.3438631241
163	0.3438349116
164	0.3438198005
165	0.3438039378
166	0.3437866024
167	0.3437662074
168	0.3437545359
169	0.3437507619
170	0.3437417918
171	0.3437381519
172	0.3437244138
173	0.3437068465
174	0.3436858758
175	0.3436809921
176	0.3436659686
177	0.3436623829
178	0.3436549562
179	0.3436427388
180	0.3436203964
181	0.3435990729
182	0.3435935671
183	0.3435696494
184	0.3435515468
185	0.3435329951
186	0.3435251928
187	0.343518928
188	0.3435020892
189	0.3434892413
190	0.3434739738
191	0.3434548629
192	0.3434398721
193	0.3434345575
194	0.3434095257
195	0.3434070325
196	0.3433914064
197	0.3433761535
198	0.3433545391
199	0.3433402435
200	0.3433162817
201	0.3432982937
202	0.3432825145
203	0.3432661277
204	0.3432431082
205	0.3432267541
206	0.3432152822
207	0.3432043002
208	0.3432004455
209	0.3431947349
210	0.3431863437
211	0.3431655243
212	0.3431540577
213	0.3431390176
214	0.3431330914
215	0.3431276311
216	0.3431247315
217	0.3431140968
218	0.3430923881
219	0.3430876252
220	0.3430747422
221	0.343053032
222	0.3430511137
223	0.3430438334
224	0.3430308875
225	0.3430112659
226	0.3430036095
227	0.3429858115
228	0.342974473
229	0.3429579966
230	0.3429465724
231	0.3429298093
232	0.3429159931
233	0.3429122899
234	0.3429022551
235	0.3428830901
236	0.3428625643
237	0.3428451476
238	0.3428279147
239	0.3428136033
240	0.342789463
241	0.3427830841
242	0.3427632595
243	0.3427372231
244	0.3427280616
245	0.3427197626
246	0.3427031405
247	0.3426887002
248	0.3426654129
249	0.3426569955
250	0.3426456007
251	0.342631485
252	0.3426221235
253	0.3426129597
254	0.3425935544
255	0.3425843159
256	0.3425668119
257	0.3425439135
258	0.3425277068
259	0.3425096029
260	0.3425022161
261	0.3424960579
262	0.3424876582
263	0.3424762032
264	0.3424653772
265	0.3424519487
266	0.3424385447
267	0.342430949
268	0.3424165933
269	0.3423988573
270	0.342390089
271	0.3423672994
272	0.3423594275
273	0.3423578446
274	0.3423389959
275	0.3423192454
276	0.3423110007
277	0.3422974383
278	0.3422846119
279	0.3422742506
280	0.3422589526
281	0.3422564716
282	0.3422478928
283	0.3422354264
284	0.3422324145
285	0.3422191888
286	0.342212953
287	0.3422103702
288	0.3422023874
289	0.3421967792
290	0.3421820494
291	0.3421691045
292	0.3421612534
293	0.3421545726
294	0.3421507368
295	0.3421415653
296	0.3421396609
297	0.3421225618
298	0.3421171995
299	0.3420987512
300	0.3420792713
301	0.3420676586
302	0.3420504667
303	0.3420465249
304	0.3420430627
305	0.3420297753
306	0.3420268218
307	0.3420214161
308	0.3420131054
309	0.3420006646
310	0.3419882029
311	0.3419820952
312	0.3419614998
313	0.3419575261
314	0.3419497928
315	0.3419422821
316	0.3419395702
317	0.3419294927
318	0.3419200416
319	0.3419109521
320	0.3418976661
321	0.341886948
322	0.341879383
323	0.3418701666
324	0.3418614717
325	0.3418507867
326	0.341840442
327	0.3418314155
328	0.3418225247
329	0.34181242
330	0.3418064064
331	0.3417871555
332	0.3417749484
333	0.3417677592
334	0.3417601032
335	0.3417409143
336	0.3417232569
337	0.3417198125
338	0.3417093099
339	0.3416990677
340	0.3416878375
341	0.3416818373
342	0.3416756197
343	0.3416704723
344	0.3416662496
345	0.3416613302
346	0.3416512201
347	0.3416488204
348	0.3416427305
349	0.3416323479
350	0.3416300164
351	0.3416228109
352	0.3416093648
353	0.3416055676
354	0.3416007751
355	0.341581739
356	0.3415706743
357	0.3415642234
358	0.3415639747
359	0.3415521655
360	0.3415471644
361	0.3415326849
362	0.3415183375
363	0.3415146433
364	0.3415107915
365	0.3415090835
366	0.3414968425
367	0.3414938886
368	0.3414894479
369	0.3414755951
370	0.3414626508
371	0.3414530134
372	0.3414447562
373	0.3414306808
374	0.3414219541
375	0.3414161977
376	0.3414103179
377	0.3414055
378	0.3414001865
379	0.3413837699
380	0.3413682174
381	0.3413574974
382	0.3413470185
383	0.3413350877
384	0.3413329803
385	0.3413177449
386	0.3413154803
387	0.3413102741
388	0.3413036986
389	0.3412990546
390	0.3412957476
391	0.3412923255
392	0.3412890289
393	0.3412804912
394	0.3412759038
395	0.3412718786
396	0.3412681642
397	0.3412634075
398	0.3412492324
399	0.3412455954
400	0.3412424182
401	0.3412318887
402	0.341219881
403	0.3412124009
404	0.3412016286
405	0.3411866475
406	0.3411826253
407	0.3411707368
408	0.3411660755
409	0.3411544075
410	0.3411447688
411	0.3411394259
412	0.3411295056
413	0.3411246813
414	0.3411186312
415	0.3411102606
416	0.3410913348
417	0.3410840603
418	0.341077916
419	0.3410753014
420	0.3410720492
421	0.3410509073
422	0.3410459043
423	0.3410375474
424	0.3410347925
425	0.3410270872
426	0.3410131068
427	0.3410078843
428	0.3410020978
429	0.3409934697
430	0.3409797342
431	0.3409756238
432	0.3409664633
433	0.3409608931
434	0.3409591542
435	0.340954977
436	0.340938845
437	0.340929167
438	0.3409255848
439	0.340908951
440	0.3409037687
441	0.3408931477
442	0.3408904518
443	0.3408815209
444	0.3408679299
445	0.3408609157
446	0.3408503202
447	0.3408392712
448	0.3408370543
449	0.3408242585
450	0.3408114777
451	0.3408068849
452	0.3408018835
453	0.3407904556
454	0.3407839191
455	0.3407760459
456	0.3407679539
457	0.3407601524
458	0.3407548072
459	0.3407532087
460	0.3407425469
461	0.3407406699
462	0.3407339946
463	0.3407233342
464	0.340715922
465	0.3407122556
466	0.3406974662
467	0.3406893979
468	0.3406806015
469	0.3406740898
470	0.3406693319
471	0.3406666908
472	0.3406553314
473	0.3406490955
474	0.3406437711
475	0.3406368731
476	0.3406298684
477	0.340620665
478	0.3406195945
479	0.3406044829
480	0.3405910118
481	0.3405867332
482	0.3405817312
483	0.3405798613
484	0.3405715278
485	0.3405673299
486	0.3405505268
487	0.3405459291
488	0.3405394958
489	0.3405363141
490	0.3405343305
491	0.3405232456
492	0.34051773
493	0.3405110904
494	0.3405079226
495	0.3405044264
496	0.3404980037
497	0.3404947886
498	0.340483895
499	0.3404744265
500	0.3404599461
501	0.3404572032
502	0.3404429673
503	0.3404369014
504	0.3404280728
505	0.3404221425
506	0.3404040116
507	0.3404004717
508	0.3403889296
509	0.3403815051
510	0.3403748932
511	0.3403661087
512	0.3403595955
513	0.3403569475
514	0.3403524771
515	0.3403436127
516	0.3403333848
517	0.3403296164
518	0.3403250329
519	0.3403120045
520	0.3403068441
521	0.3403002839
522	0.3402955698
523	0.3402834237
524	0.3402766068
525	0.3402713886
526	0.3402552297
527	0.3402536873
528	0.3402455423
529	0.3402414447
530	0.3402334396
531	0.3402299996
532	0.3402283047
533	0.3402264688
534	0.3402239335
535	0.340218985
536	0.3402127611
537	0.3402079137
538	0.3402014852
539	0.3401990011
540	0.3401951696
541	0.3401927812
542	0.3401880027
543	0.3401853692
544	0.3401835329
545	0.3401781397
546	0.3401661945
547	0.34015613
548	0.3401528068
549	0.3401479026
550	0.3401451714
551	0.3401421273
552	0.3401344735
553	0.340128799
554	0.3401179744
555	0.3401097167
556	0.3401003242
557	0.3400867615
558	0.3400793204
559	0.3400734683
560	0.3400651797
561	0.3400609185
562	0.3400484867
563	0.3400468325
564	0.3400371183
565	0.3400304197
566	0.3400296329
567	0.3400237637
568	0.3400140696
569	0.3400040528
570	0.3399938453
571	0.3399827025
572	0.3399791547
573	0.3399688637
574	0.3399675541
575	0.3399605555
576	0.3399577355
577	0.3399516236
578	0.3399408299
579	0.3399403216
580	0.3399364795
581	0.3399267684
582	0.3399153546
583	0.3399033144
584	0.3398915097
585	0.3398801911
586	0.339873972
587	0.339868891
588	0.339858414
589	0.3398512645
590	0.3398484795
591	0.3398327881
592	0.3398294003
593	0.3398224416
594	0.3398137302
595	0.3398128678
596	0.3398089564
597	0.3398018965
598	0.3397968489
599	0.3397930196
600	0.3397854161
601	0.3397789628
602	0.3397747507
603	0.3397650352
604	0.3397592166
605	0.3397538424
606	0.3397451537
607	0.3397412788
608	0.339736215
609	0.3397300287
610	0.3397289735
611	0.3397255052
612	0.3397223872
613	0.3397182889
614	0.3397065311
615	0.3397044642
616	0.3396961681
617	0.3396924262
618	0.3396886622
619	0.3396829243
620	0.3396808627
621	0.3396774984
622	0.339670552
623	0.3396671877
624	0.3396638119
625	0.3396601672
626	0.3396525708
627	0.339648484
628	0.339641189
629	0.339631286
630	0.3396232748
631	0.3396203599
632	0.3396158796
633	0.3396115146
634	0.3396063791
635	0.3395922418
636	0.3395842306
637	0.3395794998
638	0.3395784089
639	0.3395745375
640	0.3395712149
641	0.3395664161
642	0.3395528909
643	0.3395421918
644	0.3395400326
645	0.3395345201
646	0.3395285067
647	0.3395235685
648	0.3395146356
649	0.3395115233
650	0.3395034416
651	0.3394956256
652	0.3394922279
653	0.3394878475
654	0.3394834775
655	0.3394809742
656	0.3394739907
657	0.3394705118
658	0.3394703834
659	0.3394648752
660	0.3394572093
661	0.339452498
662	0.3394478252
663	0.3394455121
664	0.3394342422
665	0.3394296586
666	0.3394268902
667	0.3394229018
668	0.3394165689
669	0.339414057
670	0.3394065363
671	0.3394044661
672	0.339403161
673	0.3393991443
674	0.33939791
675	0.3393954217
676	0.3393898032
677	0.339376381
678	0.339371563
679	0.3393656667
680	0.339360429
681	0.3393587207
682	0.3393568724
683	0.33935257
684	0.3393508737
685	0.3393447574
686	0.3393382242
687	0.3393303692
688	0.3393299861
689	0.3393283078
690	0.3393210543
691	0.3393169906
692	0.3393140389
693	0.3393068943
694	0.3393060514
695	0.3393023203
